id	k	g	s
8316	0.750	0.200	0.900
8317	0.750	0.300	0.900
8318	0.750	0.400	0.900
8319	0.750	0.500	0.900
8320	0.750	0.600	0.900
8321	0.750	0.700	0.900
8322	0.750	0.800	0.900
8323	0.750	0.900	0.900
8324	0.850	0.000	0.900
8325	0.850	0.100	0.900
8326	0.850	0.200	0.900
8327	0.850	0.300	0.900
8328	0.850	0.400	0.900
8329	0.850	0.500	0.900
8330	0.850	0.600	0.900
8331	0.850	0.700	0.900
8332	0.850	0.800	0.900
8333	0.850	0.900	0.900
8334	0.950	0.000	0.900
8335	0.950	0.100	0.900
8336	0.950	0.200	0.900
8337	0.950	0.300	0.900
8338	0.950	0.400	0.900
8339	0.950	0.500	0.900
8340	0.950	0.600	0.900
8341	0.950	0.700	0.900
8342	0.950	0.800	0.900
8343	0.950	0.900	0.900
8344	1.050	0.000	0.900
8345	1.050	0.100	0.900
8346	1.050	0.200	0.900
8347	1.050	0.300	0.900
8348	1.050	0.400	0.900
8349	1.050	0.500	0.900
8350	1.050	0.600	0.900
8351	1.050	0.700	0.900
8352	1.050	0.800	0.900
8353	1.050	0.900	0.900
8354	1.150	0.000	0.900
8355	1.150	0.100	0.900
8356	1.150	0.200	0.900
8357	1.150	0.300	0.900
8358	1.150	0.400	0.900
8359	1.150	0.500	0.900
8360	1.150	0.600	0.900
8361	1.150	0.700	0.900
8362	1.150	0.800	0.900
8363	1.150	0.900	0.900
8364	1.250	0.000	0.900
8365	1.250	0.100	0.900
8366	1.250	0.200	0.900
8367	1.250	0.300	0.900
8368	1.250	0.400	0.900
8369	1.250	0.500	0.900
8370	1.250	0.600	0.900
8371	1.250	0.700	0.900
8372	1.250	0.800	0.900
8373	1.250	0.900	0.900
8374	1.350	0.000	0.900
8375	1.350	0.100	0.900
8376	1.350	0.200	0.900
8377	1.350	0.300	0.900
8378	1.350	0.400	0.900
8379	1.350	0.500	0.900
8380	1.350	0.600	0.900
8381	1.350	0.700	0.900
8382	1.350	0.800	0.900
8383	1.350	0.900	0.900
8384	1.450	0.000	0.900
8385	1.450	0.100	0.900
8386	1.450	0.200	0.900
8387	1.450	0.300	0.900
8388	1.450	0.400	0.900
8389	1.450	0.500	0.900
8390	1.450	0.600	0.900
8391	1.450	0.700	0.900
8392	1.450	0.800	0.900
8393	1.450	0.900	0.900
8394	1.550	0.000	0.900
8395	1.550	0.100	0.900
8396	1.550	0.200	0.900
8397	1.550	0.300	0.900
8398	1.550	0.400	0.900
8399	1.550	0.500	0.900
8400	1.550	0.600	0.900
8401	1.550	0.700	0.900
8402	1.550	0.800	0.900
8403	1.550	0.900	0.900
8404	1.650	0.000	0.900
8405	1.650	0.100	0.900
8406	1.650	0.200	0.900
8407	1.650	0.300	0.900
8408	1.650	0.400	0.900
8409	1.650	0.500	0.900
8410	1.650	0.600	0.900
8411	1.650	0.700	0.900
8412	1.650	0.800	0.900
8413	1.650	0.900	0.900
