,ID,k,g,s,macro_m
455,7488.0,0.75,0.5,0.8,-5.333333333333333
456,7487.0,0.75,0.4,0.8,-10.256410256410254
457,7486.0,0.75,0.3,0.8,-36.36363636363637
458,7485.0,0.75,0.2,0.8,44.44444444444446
459,7484.0,0.75,0.1,0.8,19.047619047619047
460,7483.0,0.75,0.0,0.8,16.0
461,7482.0,0.65,0.9,0.8,-1.4545454545454544
462,7481.0,0.65,0.8,0.8,-1.9323671497584534
463,7480.0,0.65,0.7,0.8,-2.72108843537415
464,7479.0,0.65,0.6,0.8,-4.2105263157894735
465,7478.0,0.65,0.5,0.8,-7.8431372549019605
466,7477.0,0.65,0.4,0.8,-26.666666666666632
467,7476.0,0.65,0.3,0.8,30.76923076923078
468,7475.0,0.65,0.2,0.8,12.121212121212125
469,7474.0,0.65,0.1,0.8,8.88888888888889
470,7473.0,0.65,0.0,0.8,8.163265306122451
471,7472.0,0.55,0.9,0.8,-1.6460905349794235
472,7471.0,0.55,0.8,0.8,-2.2857142857142847
473,7470.0,0.55,0.7,0.8,-3.4782608695652177
474,7469.0,0.55,0.6,0.8,-6.349206349206348
475,7468.0,0.55,0.5,0.8,-21.05263157894735
476,7467.0,0.55,0.4,0.8,23.529411764705923
477,7466.0,0.55,0.3,0.8,8.888888888888893
478,7465.0,0.55,0.2,0.8,6.153846153846156
479,7464.0,0.55,0.1,0.8,5.1948051948051965
480,7463.0,0.55,0.0,0.8,4.938271604938272
481,7462.0,0.45,0.9,0.8,-1.9704433497536944
482,7461.0,0.45,0.8,0.8,-2.9629629629629624
483,7460.0,0.45,0.7,0.8,-5.333333333333337
484,7459.0,0.45,0.6,0.8,-17.391304347826104
485,7458.0,0.45,0.5,0.8,19.04761904761903
486,7457.0,0.45,0.4,0.8,7.017543859649122
487,7456.0,0.45,0.3,0.8,4.705882352941176
488,7455.0,0.45,0.2,0.8,3.8095238095238084
489,7454.0,0.45,0.1,0.8,3.418803418803418
490,7453.0,0.45,0.0,0.8,3.305785123966942
491,7452.0,0.35,0.9,0.8,-2.5806451612903225
492,7451.0,0.35,0.8,0.8,-4.597701149425285
493,7450.0,0.35,0.7,0.8,-14.814814814814838
494,7449.0,0.35,0.6,0.8,15.999999999999986
495,7448.0,0.35,0.5,0.8,5.7971014492753605
496,7447.0,0.35,0.4,0.8,3.8095238095238093
497,7446.0,0.35,0.3,0.8,3.007518796992481
498,7445.0,0.35,0.2,0.8,2.61437908496732
499,7444.0,0.35,0.1,0.8,2.424242424242424
500,7443.0,0.35,0.0,0.8,2.3668639053254434
